Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1966,3.2221559974401,1.31846243502045,2.343,1.14917731760872,1.43330091148121,-0.384859796629383,4.54061843246055,4.92547822908993
1967,3.32528460401777,1.2951815251236,1.2993,0.966455679090819,1.68828889056897,0.666421559481581,4.62046612914137,3.95404456965979
1968,3.5067761238166,1.29005342583084,2.1087,1.07027998050861,2.48112810263377,-0.863278533494934,4.79682954964744,5.66010808314238
1969,3.74034309946015,1.29566801589584,2.8116,1.10705274120522,0.518353532645919,0.599004841504861,5.036011115356,4.43700627385114
1970,4.05012538380463,1.27182442296982,2.4069,1.03261918607433,0.426051407890111,1.45637921281001,5.32194980677445,3.86557059396444
1971,4.21371995604765,1.24714062680817,1.5549,1.12827894804764,2.51559128555118,0.262090349256999,5.46086058285582,5.19877023359882
1972,4.40957919036264,1.21666030546951,3.1311,1.34314015596962,1.16682745592692,-0.0148281160643888,5.62623949583215,5.64106761189654
1973,4.64390098219048,1.19300938088608,3.1098,1.29946913572002,1.39429808960587,0.0333431377506668,5.83691036307655,5.80356722532589
1974,4.62382241573749,1.15883698573685,1.4484,1.23516771653007,3.92768691065234,-0.828595225708082,5.78265940147433,6.61125462718242
1975,4.61796029309242,1.13609724075699,2.6199,1.23109478508815,2.39455321326139,-0.491490464500132,5.75405753384941,6.24554799834954
1976,4.86295794335004,1.12129291133499,2.0661,1.32103500693288,2.98276938324351,-0.385653535491356,5.98425085468503,6.36990439017639
1977,4.99646916666381,1.10311712651444,4.0896,1.39815602136847,1.42495787910195,-0.81312760729217,6.09958629317825,6.91271390047042
1978,5.17952132200293,1.06598721295166,2.7477,1.43738970229979,2.65003121055683,-0.589612377902024,6.24550853495459,6.83512091285662
1979,5.31764432297932,1.0386992796402,4.5582,1.35630196869739,1.44425590199076,-1.00241426806863,6.35634360261951,7.35875787068815
1980,5.29222578932358,1.08498516254044,3.621,1.6288639862171,0.501100071597292,0.626246894049628,6.37721095186402,5.75096405781439
1981,5.14852149665067,1.10205543504565,2.4495,1.61718524778138,2.25029523621132,-0.0664035522963795,6.25057693169632,6.3169804839927
1982,5.11030213040944,1.11744058761885,2.13,1.70257042747738,1.49359623454321,0.9015760560077,6.22774271802829,5.32616666202059
1983,5.15874823851467,1.16010886885953,3.9405,1.82613098975373,0.227431278977801,0.324794838642662,6.3188571073742,5.99406226873153
1984,5.30886403742206,1.1983848308556,2.6412,1.6952644332358,2.71268950691321,-0.541905071871353,6.50724886827766,7.04915394014901
1985,5.49798337251308,1.21821064821135,3.4506,1.64874026463904,2.65052469478196,-1.03367093869657,6.71619402072443,7.749864959421
1986,5.57626706210506,1.25374869361458,2.1726,1.7291614223743,2.20621699419032,0.722037339155019,6.83001575571964,6.10797841656463
1987,5.75705083393769,1.29109548372196,5.751,1.82381692238023,0.427655136720472,-0.954325741441052,7.04814631765965,8.00247205910071
1988,5.97726788441132,1.30780389380816,4.7925,1.70766687760625,1.930199181789,-1.14529428117577,7.28507177821947,8.43036605939525
1989,6.06732647167399,1.33468930997893,2.9394,1.70177483519935,3.36252228397821,-0.601681337524632,7.40201578165293,8.00369711917756
1990,6.20020195121544,1.30820161969547,2.4921,1.81633520767409,2.26903882960355,0.930929533633268,7.50840357091091,6.57747403727764
1991,6.32940858844599,1.30662751819281,1.5762,1.90891310130009,2.19423804960209,1.95668495573662,7.63603610663879,5.67935115090217
1992,6.13166633303753,1.3151998224215,1.491,2.09956103911015,2.09932188204494,1.75698323430395,7.44686615545903,5.68988292115509
